name,latitude,longitude
Syrdarya Power Plant,40.2281,69.1006
Big Rock Point Nuclear Power Plant,45.3589,-85.1972
Homer City Generating Station,40.5108,-79.1936
Jersey-Atlantic Wind Farm,39.3814,-74.4475
Conowingo Dam,39.66,-76.1739
Lakeview Generating Station,43.5711,-79.5517
Wivenhoe Dam,-27.3939,152.608
Ratcliffe-on-Soar Power Station,52.8653,-1.255
McMaster Nuclear Reactor,43.2633,-79.9189
Isar Nuclear Power Plant,48.6056,12.2931
Furnas Dam,-20.6697,-46.3181
Morupule Power Station,-22.52,27.0367
Neasden Power Station,51.5597,-0.2613
Cernavodă Nuclear Power Plant,44.3222,28.0572
Gavins Point Dam,42.8619,-97.485
Geheyan Dam,30.4675,111.138
Longtan Dam,25.0272,107.048
Salto Grande Dam,-31.2542,-57.9286
Flaming Gorge Dam,40.9144,-109.421
Madras Atomic Power Station,12.5575,80.175
Lungmen Nuclear Power Plant,25.0386,121.924
Indirasagar Dam,22.2839,76.4714
Balmain Power Station,-33.8597,151.166
White Bay Power Station,-33.8667,151.177
Beloyarsk Nuclear Power Station,56.8417,61.3225
Aktau nuclear power plant,43.607,51.283
Kendal Power Station,-26.09,28.9714
Cefn Croes Wind Farm,52.405,-3.75083
Royd Moor Wind Farm,53.5375,-1.68833
Barron Gorge Hydroelectric Power Station,-16.8511,145.647
Contra Dam,46.1967,8.84778
Bureya Dam,50.2692,130.313
Rivne Nuclear Power Plant,51.3278,25.8917
Daya Bay Nuclear Power Plant,22.6,114.55
Mountaineer Power Plant,38.9783,-81.9356
Kharkiv TEC-5,49.9714,36.1006
Ohakuri Power Station,-38.4083,176.089
Heysham nuclear power station,54.0289,-2.91611
Atucha I Nuclear Power Plant,-33.9633,-59.1864
Laforge-2 Generating Station,54.5889,-71.2806
La Grande-1 generating station,53.7344,-78.5736
Robert-Bourassa Generating Station,53.7953,-77.4406
La Grande-2-A Generating Station,53.7794,-77.5483
La Grande-4 Generating Station,53.8861,-73.4625
Laforge-1 Generating Station,54.1667,-72.6167
Brisay Generating Station,54.4417,-70.5306
Dukovany Nuclear Power Station,49.085,16.1489
Krasnoyarsk Dam,55.9347,92.2936
Piqua Nuclear Generating Station,40.1323,-84.2348
Mtera Dam,-7.13667,35.9878
Marcoule Nuclear Power Plant,44.1433,4.70944
Ballylumford power station,54.845,-5.787
Nanticoke Generating Station,42.8,-80.0503
Rance Tidal Power Station,48.6181,-2.02333
Karachi Nuclear Power Plant,24.8447,66.7889
Karachi Nuclear Power Complex,24.8333,66.7833
Khushab Nuclear Complex,32.0054,72.1889
Riga Hydroelectric Power Plant,56.8522,24.2719
Munmorah Power Station,-33.2118,151.542
Eraring Power Station,-33.0622,151.52
Vales Point Power Station,-33.1606,151.542
